,GeoUID,Type,Region Name,Area (sq km),Population,Dwellings,Households,CSD_UID,CD_UID,CT_UID,CMA_UID,v_CA21_4237: Total - Private households by tenure,v_CA21_4238: Owner,v_CA21_4239: Renter,,"v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings",v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55),,v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59),,v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)
96,35300296,DA,35300296,0.3976,3283,2263,1528,3530016,3530,5410106.01,35541,1530,145,1390,,1385,65.1,,1320,,1362
97,35300297,DA,35300297,0.615,1454,904,706,3530016,3530,5410106.02,35541,715,25,685,,690,51.6,,1450,,1408
98,35300298,DA,35300298,0.4473,2340,2119,1249,3530016,3530,5410106.01,35541,1090,65,1025,,1030,69.3,,1450,,1344
99,35300579,DA,35300579,0.2816,559,188,187,3530016,3530,5410108.02,35541,185,185,0,,0,NA,,NA,,NA
100,35300580,DA,35300580,0.3493,689,240,238,3530016,3530,5410108.02,35541,250,245,0,,0,NA,,NA,,NA
101,35300581,DA,35300581,0.1127,392,160,158,3530016,3530,5410107.01,35541,160,135,20,,20,0,,NA,,2000
102,35300582,DA,35300582,0.9937,1138,399,392,3530016,3530,5410107.02,35541,385,385,0,,0,NA,,NA,,NA
103,35300583,DA,35300583,0.1934,386,145,141,3530016,3530,5410107.02,35541,130,130,0,,0,NA,,NA,,NA
104,35300584,DA,35300584,0.1979,582,224,221,3530016,3530,5410107.01,35541,215,195,25,,20,0,,NA,,1400
105,35300587,DA,35300587,0.072,255,122,119,3530016,3530,5410107.01,35541,115,60,55,,55,NA,,1560,,1560
106,35300588,DA,35300588,0.1129,425,149,148,3530016,3530,5410107.02,35541,155,120,35,,40,0,,1840,,1900
107,35300589,DA,35300589,0.5704,974,535,523,3530016,3530,5410107.02,35541,555,115,440,,445,26.1,,900,,916
108,35300590,DA,35300590,0.1866,418,149,147,3530016,3530,5410107.02,35541,140,140,0,,0,NA,,NA,,NA
109,35300591,DA,35300591,1.6746,1258,614,591,3530016,3530,5410108.03,35541,565,175,390,,395,35.4,,1350,,1425
110,35300598,DA,35300598,0.1554,275,111,111,3530016,3530,5410101.03,35541,95,95,0,,0,NA,,NA,,NA
111,35300599,DA,35300599,0.1164,492,187,185,3530016,3530,5410101.03,35541,185,105,80,,80,25,,1100,,1100
112,35300600,DA,35300600,0.1967,532,208,204,3530016,3530,5410101.03,35541,190,145,45,,45,0,,1570,,1280
113,35300718,DA,35300718,0.5144,1142,547,530,3530016,3530,5410104,35541,555,325,230,,225,36.4,,1450,,1380
114,35300719,DA,35300719,0.3979,955,679,414,3530016,3530,5410106.01,35541,380,0,380,,380,54.1,,1380,,1360
115,35300720,DA,35300720,0.2163,851,315,309,3530016,3530,5410107.01,35541,310,140,175,,170,14.7,,800,,920
